id,name,dataset,time_limit,memory_limit,rating,tags,complexity
p02546,AtCoder Beginner Contest 179 - Plural Form,AtCoder,2000.0,1048576.0,,,
p02547,AtCoder Beginner Contest 179 - Go to Jail,AtCoder,2000.0,1048576.0,,,
p02548,AtCoder Beginner Contest 179 - A x B + C,AtCoder,2000.0,1048576.0,,,
p02549,AtCoder Beginner Contest 179 - Leaping Tak,AtCoder,2000.0,1048576.0,,,
p02550,AtCoder Beginner Contest 179 - Sequence Sum,AtCoder,2000.0,1048576.0,,,
p02551,AtCoder Beginner Contest 179 - Simplified Reversi,AtCoder,2000.0,1048576.0,,,
p02552,AtCoder Beginner Contest 178 - Not,AtCoder,2000.0,1048576.0,,,
p02553,AtCoder Beginner Contest 178 - Product Max,AtCoder,2000.0,1048576.0,,,
p02554,AtCoder Beginner Contest 178 - Ubiquity,AtCoder,2000.0,1048576.0,,,
p02555,AtCoder Beginner Contest 178 - Redistribution,AtCoder,2000.0,1048576.0,,,
p02556,AtCoder Beginner Contest 178 - Dist Max,AtCoder,2000.0,1048576.0,,,
p02557,AtCoder Beginner Contest 178 - Contrast,AtCoder,2000.0,1048576.0,,,
p02570,AtCoder Beginner Contest 177 - Don't be late,AtCoder,2000.0,1048576.0,,,
p02571,AtCoder Beginner Contest 177 - Substring,AtCoder,2000.0,1048576.0,,,
p02572,AtCoder Beginner Contest 177 - Sum of product of pairs,AtCoder,2000.0,1048576.0,,,
p02573,AtCoder Beginner Contest 177 - Friends,AtCoder,2000.0,1048576.0,,,
p02574,AtCoder Beginner Contest 177 - Coprime,AtCoder,2000.0,1048576.0,,,
p02575,AtCoder Beginner Contest 177 - I hate Shortest Path Problem,AtCoder,2000.0,1048576.0,,,
p02576,AtCoder Beginner Contest 176 - Takoyaki,AtCoder,2000.0,1048576.0,,,
p02577,AtCoder Beginner Contest 176 - Multiple of 9,AtCoder,2000.0,1048576.0,,,
p02578,AtCoder Beginner Contest 176 - Step,AtCoder,2000.0,1048576.0,,,
p02579,AtCoder Beginner Contest 176 - Wizard in Maze,AtCoder,2000.0,1048576.0,,,
p02580,AtCoder Beginner Contest 176 - Bomber,AtCoder,3000.0,1048576.0,,,
p02581,AtCoder Beginner Contest 176 - Brave CHAIN,AtCoder,2000.0,1048576.0,,,
p02582,AtCoder Beginner Contest 175 - Rainy Season,AtCoder,2000.0,1048576.0,,,
p02583,AtCoder Beginner Contest 175 - Making Triangle,AtCoder,2000.0,1048576.0,,,
p02584,AtCoder Beginner Contest 175 - Walking Takahashi,AtCoder,2000.0,1048576.0,,,
p02585,AtCoder Beginner Contest 175 - Moving Piece,AtCoder,3000.0,1048576.0,,,
p02586,AtCoder Beginner Contest 175 - Picking Goods,AtCoder,3000.0,1048576.0,,,
p02587,AtCoder Beginner Contest 175 - Making Palindrome,AtCoder,2000.0,1048576.0,,,
p02594,AtCoder Beginner Contest 174 - Air Conditioner,AtCoder,2000.0,1048576.0,,,
p02595,AtCoder Beginner Contest 174 - Distance,AtCoder,2000.0,1048576.0,,,
p02596,AtCoder Beginner Contest 174 - Repsept,AtCoder,2000.0,1048576.0,,,
p02597,AtCoder Beginner Contest 174 - Alter Altar,AtCoder,2000.0,1048576.0,,,
p02598,AtCoder Beginner Contest 174 - Logs,AtCoder,2000.0,1048576.0,,,
p02599,AtCoder Beginner Contest 174 - Range Set Query,AtCoder,2000.0,1048576.0,,,
p02612,AtCoder Beginner Contest 173 - Payment,AtCoder,2000.0,1048576.0,,,
p02613,AtCoder Beginner Contest 173 - Judge Status Summary,AtCoder,2000.0,1048576.0,,,
p02614,AtCoder Beginner Contest 173 - H and V,AtCoder,1000.0,1048576.0,,,
p02615,AtCoder Beginner Contest 173 - Chat in a Circle,AtCoder,2000.0,1048576.0,,,
p02616,AtCoder Beginner Contest 173 - Multiplication 4,AtCoder,2000.0,1048576.0,,,
p02617,AtCoder Beginner Contest 173 - Intervals on Tree,AtCoder,2000.0,1048576.0,,,
p02621,AtCoder Beginner Contest 172 - Calc,AtCoder,2000.0,1048576.0,,,
p02622,AtCoder Beginner Contest 172 - Minor Change,AtCoder,2000.0,1048576.0,,,
p02623,AtCoder Beginner Contest 172 - Tsundoku,AtCoder,2000.0,1048576.0,,,
p02624,AtCoder Beginner Contest 172 - Sum of Divisors,AtCoder,3000.0,1048576.0,,,
p02625,AtCoder Beginner Contest 172 - NEQ,AtCoder,2000.0,1048576.0,,,
p02626,AtCoder Beginner Contest 172 - Unfair Nim,AtCoder,2000.0,1048576.0,,,
p02627,AtCoder Beginner Contest 171 - αlphabet,AtCoder,2000.0,1048576.0,,,
p02628,AtCoder Beginner Contest 171 - Mix Juice,AtCoder,2000.0,1048576.0,,,
p02629,AtCoder Beginner Contest 171 - One Quadrillion and One Dalmatians,AtCoder,2000.0,1048576.0,,,
p02630,AtCoder Beginner Contest 171 - Replacing,AtCoder,2000.0,1048576.0,,,
p02631,AtCoder Beginner Contest 171 - Red Scarf,AtCoder,2000.0,1048576.0,,,
p02632,AtCoder Beginner Contest 171 - Strivore,AtCoder,2000.0,1048576.0,,,
p02639,AtCoder Beginner Contest 170 - Five Variables,AtCoder,2000.0,1048576.0,,,
p02640,AtCoder Beginner Contest 170 - Crane and Turtle,AtCoder,2000.0,1048576.0,,,
p02641,AtCoder Beginner Contest 170 - Forbidden List,AtCoder,2000.0,1048576.0,,,
p02642,AtCoder Beginner Contest 170 - Not Divisible,AtCoder,2000.0,1048576.0,,,
p02643,AtCoder Beginner Contest 170 - Smart Infants,AtCoder,3500.0,1048576.0,,,
p02644,AtCoder Beginner Contest 170 - Pond Skater,AtCoder,3000.0,1048576.0,,,
p02657,AtCoder Beginner Contest 169 - Multiplication 1,AtCoder,2000.0,1048576.0,,,
p02658,AtCoder Beginner Contest 169 - Multiplication 2,AtCoder,2000.0,1048576.0,,,
p02659,AtCoder Beginner Contest 169 - Multiplication 3,AtCoder,2000.0,1048576.0,,,
p02660,AtCoder Beginner Contest 169 - Div Game,AtCoder,2000.0,1048576.0,,,
p02661,AtCoder Beginner Contest 169 - Count Median,AtCoder,2000.0,1048576.0,,,
p02662,AtCoder Beginner Contest 169 - Knapsack for All Subsets,AtCoder,2000.0,1048576.0,,,
p02675,AtCoder Beginner Contest 168 - ∴ (Therefore),AtCoder,2000.0,1048576.0,,,
p02676,AtCoder Beginner Contest 168 - ... (Triple Dots),AtCoder,2000.0,1048576.0,,,
p02677,AtCoder Beginner Contest 168 - : (Colon),AtCoder,2000.0,1048576.0,,,
p02678,AtCoder Beginner Contest 168 - .. (Double Dots),AtCoder,2000.0,1048576.0,,,
p02679,AtCoder Beginner Contest 168 - ∙ (Bullet),AtCoder,2000.0,1048576.0,,,
p02680,AtCoder Beginner Contest 168 - . (Single Dot),AtCoder,3000.0,1048576.0,,,
p02681,AtCoder Beginner Contest 167 - Registration,AtCoder,2000.0,1048576.0,,,
p02682,AtCoder Beginner Contest 167 - Easy Linear Programming,AtCoder,2000.0,1048576.0,,,
p02683,AtCoder Beginner Contest 167 - Skill Up,AtCoder,2000.0,1048576.0,,,
p02684,AtCoder Beginner Contest 167 - Teleporter,AtCoder,2000.0,1048576.0,,,
p02685,AtCoder Beginner Contest 167 - Colorful Blocks,AtCoder,2000.0,1048576.0,,,
p02686,AtCoder Beginner Contest 167 - Bracket Sequencing,AtCoder,2000.0,1048576.0,,,
p02687,AtCoder Beginner Contest 166 - A?C,AtCoder,2000.0,1048576.0,,,
p02688,AtCoder Beginner Contest 166 - Trick or Treat,AtCoder,2000.0,1048576.0,,,
p02689,AtCoder Beginner Contest 166 - Peaks,AtCoder,2000.0,1048576.0,,,
p02690,AtCoder Beginner Contest 166 - I hate Factorization,AtCoder,2000.0,1048576.0,,,
p02691,AtCoder Beginner Contest 166 - This Message Will Self-Destruct in 5s,AtCoder,2000.0,1048576.0,,,
p02692,AtCoder Beginner Contest 166 - Three Variables Game,AtCoder,2000.0,1048576.0,,,
p02693,AtCoder Beginner Contest 165 - We Love Golf,AtCoder,2000.0,1048576.0,,,
p02694,AtCoder Beginner Contest 165 - 1%,AtCoder,2000.0,1048576.0,,,
p02695,AtCoder Beginner Contest 165 - Many Requirements,AtCoder,2000.0,1048576.0,,,
p02696,AtCoder Beginner Contest 165 - Floor Function,AtCoder,2000.0,1048576.0,,,
p02697,AtCoder Beginner Contest 165 - Rotation Matching,AtCoder,2000.0,1048576.0,,,
p02698,AtCoder Beginner Contest 165 - LIS on Tree,AtCoder,2000.0,1048576.0,,,
p02699,AtCoder Beginner Contest 164 - Sheep and Wolves,AtCoder,2000.0,1048576.0,,,
p02700,AtCoder Beginner Contest 164 - Battle,AtCoder,2000.0,1048576.0,,,
p02701,AtCoder Beginner Contest 164 - gacha,AtCoder,2000.0,1048576.0,,,
p02702,AtCoder Beginner Contest 164 - Multiple of 2019,AtCoder,2000.0,1048576.0,,,
p02703,AtCoder Beginner Contest 164 - Two Currencies,AtCoder,2000.0,1048576.0,,,
p02704,AtCoder Beginner Contest 164 - I hate Matrix Construction,AtCoder,2000.0,1048576.0,,,
p02705,AtCoder Beginner Contest 163 - Circle Pond,AtCoder,2000.0,1048576.0,,,
p02706,AtCoder Beginner Contest 163 - Homework,AtCoder,2000.0,1048576.0,,,
p02707,AtCoder Beginner Contest 163 - management,AtCoder,2000.0,1048576.0,,,
p02708,AtCoder Beginner Contest 163 - Sum of Large Numbers,AtCoder,2000.0,1048576.0,,,
p02709,AtCoder Beginner Contest 163 - Active Infants,AtCoder,2000.0,1048576.0,,,
p02710,AtCoder Beginner Contest 163 - path pass i,AtCoder,2000.0,1048576.0,,,
p02711,AtCoder Beginner Contest 162 - Lucky 7,AtCoder,2000.0,1048576.0,,,
p02712,AtCoder Beginner Contest 162 - FizzBuzz Sum,AtCoder,2000.0,1048576.0,,,
p02713,AtCoder Beginner Contest 162 - Sum of gcd of Tuples (Easy),AtCoder,2000.0,1048576.0,,,
p02714,AtCoder Beginner Contest 162 - RGB Triplets,AtCoder,2000.0,1048576.0,,,
p02715,AtCoder Beginner Contest 162 - Sum of gcd of Tuples (Hard),AtCoder,2000.0,1048576.0,,,
p02716,AtCoder Beginner Contest 162 - Select Half,AtCoder,2000.0,1048576.0,,,
p02717,AtCoder Beginner Contest 161 - ABC Swap,AtCoder,2000.0,1048576.0,,,
p02718,AtCoder Beginner Contest 161 - Popular Vote,AtCoder,2000.0,1048576.0,,,
p02719,AtCoder Beginner Contest 161 - Replacing Integer,AtCoder,2000.0,1048576.0,,,
p02720,AtCoder Beginner Contest 161 - Lunlun Number,AtCoder,2000.0,1048576.0,,,
p02721,AtCoder Beginner Contest 161 - Yutori,AtCoder,2000.0,1048576.0,,,
p02722,AtCoder Beginner Contest 161 - Division or Subtraction,AtCoder,2000.0,1048576.0,,,
p02723,AtCoder Beginner Contest 160 - Coffee,AtCoder,2000.0,1048576.0,,,
p02724,AtCoder Beginner Contest 160 - Golden Coins,AtCoder,2000.0,1048576.0,,,
p02725,AtCoder Beginner Contest 160 - Traveling Salesman around Lake,AtCoder,2000.0,1048576.0,,,
p02726,AtCoder Beginner Contest 160 - Line++,AtCoder,2000.0,1048576.0,,,
p02727,AtCoder Beginner Contest 160 - Red and Green Apples,AtCoder,2000.0,1048576.0,,,
p02728,AtCoder Beginner Contest 160 - Distributing Integers,AtCoder,3000.0,1048576.0,,,
p02729,AtCoder Beginner Contest 159 - The Number of Even Pairs,AtCoder,2000.0,1048576.0,,,
p02730,AtCoder Beginner Contest 159 - String Palindrome,AtCoder,2000.0,1048576.0,,,
p02731,AtCoder Beginner Contest 159 - Maximum Volume,AtCoder,2000.0,1048576.0,,,
p02732,AtCoder Beginner Contest 159 - Banned K,AtCoder,2000.0,1048576.0,,,
p02733,AtCoder Beginner Contest 159 - Dividing Chocolate,AtCoder,2000.0,1048576.0,,,
p02734,AtCoder Beginner Contest 159 - Knapsack for All Segments,AtCoder,2000.0,1048576.0,,,
p02753,AtCoder Beginner Contest 158 - Station and Bus,AtCoder,2000.0,1048576.0,,,
p02754,AtCoder Beginner Contest 158 - Count Balls,AtCoder,2000.0,1048576.0,,,
p02755,AtCoder Beginner Contest 158 - Tax Increase,AtCoder,2000.0,1048576.0,,,
p02756,AtCoder Beginner Contest 158 - String Formation,AtCoder,2000.0,1048576.0,,,
p02757,AtCoder Beginner Contest 158 - Divisible Substring,AtCoder,2000.0,1048576.0,,,
p02758,AtCoder Beginner Contest 158 - Removing Robots,AtCoder,2000.0,1048576.0,,,
p02759,AtCoder Beginner Contest 157 - Duplex Printing,AtCoder,2000.0,1048576.0,,,
p02760,AtCoder Beginner Contest 157 - Bingo,AtCoder,2000.0,1048576.0,,,
p02761,AtCoder Beginner Contest 157 - Guess The Number,AtCoder,2000.0,1048576.0,,,
p02762,AtCoder Beginner Contest 157 - Friend Suggestions,AtCoder,2000.0,1048576.0,,,
p02763,AtCoder Beginner Contest 157 - Simple String Queries,AtCoder,2000.0,1048576.0,,,
p02764,AtCoder Beginner Contest 157 - Yakiniku Optimization Problem,AtCoder,2000.0,1048576.0,,,
p02765,AtCoder Beginner Contest 156 - Beginner,AtCoder,2000.0,1048576.0,,,
p02766,AtCoder Beginner Contest 156 - Digits,AtCoder,2000.0,1048576.0,,,
p02767,AtCoder Beginner Contest 156 - Rally,AtCoder,2000.0,1048576.0,,,
p02768,AtCoder Beginner Contest 156 - Bouquet,AtCoder,2000.0,1048576.0,,,
p02769,AtCoder Beginner Contest 156 - Roaming,AtCoder,2000.0,1048576.0,,,
p02770,AtCoder Beginner Contest 156 - Modularness,AtCoder,2000.0,1048576.0,,,
p02771,AtCoder Beginner Contest 155 - Poor,AtCoder,2000.0,1048576.0,,,
p02772,AtCoder Beginner Contest 155 - Papers  Please,AtCoder,2000.0,1048576.0,,,
p02773,AtCoder Beginner Contest 155 - Poll,AtCoder,2000.0,1048576.0,,,
p02774,AtCoder Beginner Contest 155 - Pairs,AtCoder,2000.0,1048576.0,,,
p02775,AtCoder Beginner Contest 155 - Payment,AtCoder,2000.0,1048576.0,,,
p02776,AtCoder Beginner Contest 155 - Perils in Parallel,AtCoder,2000.0,1048576.0,,,
p02777,AtCoder Beginner Contest 154 - Remaining Balls,AtCoder,2000.0,1048576.0,,,
p02778,AtCoder Beginner Contest 154 - I miss you...,AtCoder,2000.0,1048576.0,,,
p02779,AtCoder Beginner Contest 154 - Distinct or Not,AtCoder,2000.0,1048576.0,,,
p02780,AtCoder Beginner Contest 154 - Dice in Line,AtCoder,2000.0,1048576.0,,,
p02781,AtCoder Beginner Contest 154 - Almost Everywhere Zero,AtCoder,2000.0,1048576.0,,,
p02782,AtCoder Beginner Contest 154 - Many Many Paths,AtCoder,2000.0,1048576.0,,,
p02783,AtCoder Beginner Contest 153 - Serval vs Monster,AtCoder,2000.0,1048576.0,,,
p02784,AtCoder Beginner Contest 153 - Common Raccoon vs Monster,AtCoder,2000.0,1048576.0,,,
p02785,AtCoder Beginner Contest 153 - Fennec vs Monster,AtCoder,2000.0,1048576.0,,,
p02786,AtCoder Beginner Contest 153 - Caracal vs Monster,AtCoder,2000.0,1048576.0,,,
p02787,AtCoder Beginner Contest 153 - Crested Ibis vs Monster,AtCoder,2000.0,1048576.0,,,
p02788,AtCoder Beginner Contest 153 - Silver Fox vs Monster,AtCoder,2000.0,1048576.0,,,
p02789,AtCoder Beginner Contest 152 - AC or WA,AtCoder,2000.0,1048576.0,,,
p02790,AtCoder Beginner Contest 152 - Comparing Strings,AtCoder,2000.0,1048576.0,,,
p02791,AtCoder Beginner Contest 152 - Low Elements,AtCoder,2000.0,1048576.0,,,
p02792,AtCoder Beginner Contest 152 - Handstand 2,AtCoder,2000.0,1048576.0,,,
p02793,AtCoder Beginner Contest 152 - Flatten,AtCoder,2000.0,1048576.0,,,
p02794,AtCoder Beginner Contest 152 - Tree and Constraints,AtCoder,4000.0,1048576.0,,,
p02801,AtCoder Beginner Contest 151 - Next Alphabet,AtCoder,2000.0,1048576.0,,,
p02802,AtCoder Beginner Contest 151 - Welcome to AtCoder,AtCoder,2000.0,1048576.0,,,
p02803,AtCoder Beginner Contest 151 - Maze Master,AtCoder,2000.0,1048576.0,,,
p02804,AtCoder Beginner Contest 151 - Max-Min Sums,AtCoder,2000.0,1048576.0,,,
p02805,AtCoder Beginner Contest 151 - Enclose All,AtCoder,2000.0,1048576.0,,,
p02811,AtCoder Beginner Contest 150 - 500 Yen Coins,AtCoder,2000.0,1048576.0,,,
p02812,AtCoder Beginner Contest 150 - Count ABC,AtCoder,2000.0,1048576.0,,,
p02813,AtCoder Beginner Contest 150 - Count Order,AtCoder,2000.0,1048576.0,,,
p02814,AtCoder Beginner Contest 150 - Semi Common Multiple,AtCoder,2000.0,1048576.0,,,
p02815,AtCoder Beginner Contest 150 - Change a Little Bit,AtCoder,2000.0,1048576.0,,,
p02816,AtCoder Beginner Contest 150 - Xor Shift,AtCoder,2000.0,1048576.0,,,
p02817,AtCoder Beginner Contest 149 - Strings,AtCoder,2000.0,1048576.0,,,
p02818,AtCoder Beginner Contest 149 - Greedy Takahashi,AtCoder,2000.0,1048576.0,,,
p02819,AtCoder Beginner Contest 149 - Next Prime,AtCoder,2000.0,1048576.0,,,
p02820,AtCoder Beginner Contest 149 - Prediction and Restriction,AtCoder,2000.0,1048576.0,,,
p02821,AtCoder Beginner Contest 149 - Handshake,AtCoder,2000.0,1048576.0,,,
p02822,AtCoder Beginner Contest 149 - Surrounded Nodes,AtCoder,2000.0,1048576.0,,,
p02829,AtCoder Beginner Contest 148 - Round One,AtCoder,2000.0,1048576.0,,,
p02830,AtCoder Beginner Contest 148 - Strings with the Same Length,AtCoder,2000.0,1048576.0,,,
p02831,AtCoder Beginner Contest 148 - Snack,AtCoder,2000.0,1048576.0,,,
p02832,AtCoder Beginner Contest 148 - Brick Break,AtCoder,2000.0,1048576.0,,,
p02833,AtCoder Beginner Contest 148 - Double Factorial,AtCoder,2000.0,1048576.0,,,
p02834,AtCoder Beginner Contest 148 - Playing Tag on Tree,AtCoder,2000.0,1048576.0,,,
p02835,AtCoder Beginner Contest 147 - Blackjack,AtCoder,2000.0,1048576.0,,,
p02836,AtCoder Beginner Contest 147 - Palindrome-philia,AtCoder,2000.0,1048576.0,,,
p02837,AtCoder Beginner Contest 147 - HonestOrUnkind2,AtCoder,2000.0,1048576.0,,,
p02838,AtCoder Beginner Contest 147 - Xor Sum 4,AtCoder,2000.0,1048576.0,,,
p02839,AtCoder Beginner Contest 147 - Balanced Path,AtCoder,2000.0,1048576.0,,,
p02840,AtCoder Beginner Contest 147 - Sum Difference,AtCoder,2000.0,1048576.0,,,
p02847,AtCoder Beginner Contest 146 - Can't Wait for Holiday,AtCoder,2000.0,1048576.0,,,
p02848,AtCoder Beginner Contest 146 - ROT N,AtCoder,2000.0,1048576.0,,,
p02849,AtCoder Beginner Contest 146 - Buy an Integer,AtCoder,2000.0,1048576.0,,,
p02850,AtCoder Beginner Contest 146 - Coloring Edges on Tree,AtCoder,2000.0,1048576.0,,,
p02851,AtCoder Beginner Contest 146 - Rem of Sum is Num,AtCoder,2000.0,1048576.0,,,
p02852,AtCoder Beginner Contest 146 - Sugoroku,AtCoder,2000.0,1048576.0,,,
p02859,AtCoder Beginner Contest 145 - Circle,AtCoder,2000.0,1048576.0,,,
p02860,AtCoder Beginner Contest 145 - Echo,AtCoder,2000.0,1048576.0,,,
p02861,AtCoder Beginner Contest 145 - Average Length,AtCoder,2000.0,1048576.0,,,
p02862,AtCoder Beginner Contest 145 - Knight,AtCoder,2000.0,1048576.0,,,
p02863,AtCoder Beginner Contest 145 - All-you-can-eat,AtCoder,2000.0,1048576.0,,,
p02864,AtCoder Beginner Contest 145 - Laminate,AtCoder,2000.0,1048576.0,,,
p02879,AtCoder Beginner Contest 144 - 9x9,AtCoder,2000.0,1048576.0,,,
p02880,AtCoder Beginner Contest 144 - 81,AtCoder,2000.0,1048576.0,,,
p02881,AtCoder Beginner Contest 144 - Walk on Multiplication Table,AtCoder,2000.0,1048576.0,,,
p02882,AtCoder Beginner Contest 144 - Water Bottle,AtCoder,2000.0,1048576.0,,,
p02883,AtCoder Beginner Contest 144 - Gluttony,AtCoder,2000.0,1048576.0,,,
p02884,AtCoder Beginner Contest 144 - Fork in the Road,AtCoder,2000.0,1048576.0,,,
p02885,AtCoder Beginner Contest 143 - Curtain,AtCoder,2000.0,1048576.0,,,
p02886,AtCoder Beginner Contest 143 - TAKOYAKI FESTIVAL 2019,AtCoder,2000.0,1048576.0,,,
p02887,AtCoder Beginner Contest 143 - Slimes,AtCoder,2000.0,1048576.0,,,
